Timestamp,MeterKey,MeterReading,Day,Weekday,IsWeekend,IsHoliday,WeekOfMonth,WeekOfYear,Month,Quarter,Hour24,Hour12ShortString,AmPmCode,Minute,HalfHour,FullTimeString24,ApparentTemperature,RelativeHumidity,CDD,HDD
1/01/2018 0:15,698,7.25,1,2,0,1,1,1,1,1,0,0,AM,15,0,0:15:00,16,86,0.613888889,0.786111111
1/01/2018 0:30,698,7.188,1,2,0,1,1,1,1,1,0,0,AM,30,1,0:30:00,16,87,0.613888889,0.786111111
1/01/2018 0:45,698,7.094,1,2,0,1,1,1,1,1,0,0,AM,45,1,0:45:00,16.2,87,0.613888889,0.786111111
1/01/2018 1:00,698,7.094,1,2,0,1,1,1,1,1,1,1,AM,0,0,1:00:00,16.7,87,0.613888889,0.786111111
1/01/2018 1:15,698,7.156,1,2,0,1,1,1,1,1,1,1,AM,15,0,1:15:00,16.4,87,0.613888889,0.786111111
1/01/2018 1:30,698,7.156,1,2,0,1,1,1,1,1,1,1,AM,30,1,1:30:00,16.6,90,0.613888889,0.786111111
1/01/2018 1:45,698,7.219,1,2,0,1,1,1,1,1,1,1,AM,45,1,1:45:00,16.6,90,0.613888889,0.786111111
1/01/2018 2:00,698,7.219,1,2,0,1,1,1,1,1,2,2,AM,0,0,2:00:00,16.2,91,0.613888889,0.786111111
1/01/2018 2:15,698,7.281,1,2,0,1,1,1,1,1,2,2,AM,15,0,2:15:00,16.1,93,0.613888889,0.786111111
1/01/2018 2:30,698,7.312,1,2,0,1,1,1,1,1,2,2,AM,30,1,2:30:00,15.8,96,0.613888889,0.786111111
1/01/2018 2:45,698,7.125,1,2,0,1,1,1,1,1,2,2,AM,45,1,2:45:00,16,97,0.613888889,0.786111111
1/01/2018 3:00,698,7.062,1,2,0,1,1,1,1,1,3,3,AM,0,0,3:00:00,15.9,99,0.613888889,0.786111111
1/01/2018 3:15,698,7.219,1,2,0,1,1,1,1,1,3,3,AM,15,0,3:15:00,16.2,99,0.613888889,0.786111111
1/01/2018 3:30,698,7.219,1,2,0,1,1,1,1,1,3,3,AM,30,1,3:30:00,16,97,0.613888889,0.786111111
1/01/2018 3:45,698,7.188,1,2,0,1,1,1,1,1,3,3,AM,45,1,3:45:00,15.2,98,0.613888889,0.786111111
1/01/2018 4:00,698,7.312,1,2,0,1,1,1,1,1,4,4,AM,0,0,4:00:00,16.2,98,0.613888889,0.786111111
1/01/2018 4:15,698,7.188,1,2,0,1,1,1,1,1,4,4,AM,15,0,4:15:00,16.4,98,0.613888889,0.786111111
1/01/2018 4:30,698,7.531,1,2,0,1,1,1,1,1,4,4,AM,30,1,4:30:00,16.7,96,0.613888889,0.786111111
1/01/2018 4:45,698,7.5,1,2,0,1,1,1,1,1,4,4,AM,45,1,4:45:00,16.4,97,0.613888889,0.786111111
1/01/2018 5:00,698,7.188,1,2,0,1,1,1,1,1,5,5,AM,0,0,5:00:00,16.7,96,0.613888889,0.786111111
