Timestamp,MeterKey,MeterReading,Day,Weekday,IsWeekend,IsHoliday,WeekOfMonth,WeekOfYear,Month,Quarter,Hour24,Hour12ShortString,AmPmCode,Minute,HalfHour,FullTimeString24,ApparentTemperature,RelativeHumidity,CDD,HDD
1/01/2018 0:15,703,22.812,1,2,0,1,1,1,1,1,0,0,AM,15,0,0:15:00,16,86,0.697894737,0.893684211
1/01/2018 0:30,703,22.75,1,2,0,1,1,1,1,1,0,0,AM,30,1,0:30:00,16,87,0.697894737,0.893684211
1/01/2018 0:45,703,22.938,1,2,0,1,1,1,1,1,0,0,AM,45,1,0:45:00,16.2,87,0.697894737,0.893684211
1/01/2018 1:00,703,22.938,1,2,0,1,1,1,1,1,1,1,AM,0,0,1:00:00,16.7,87,0.697894737,0.893684211
1/01/2018 1:15,703,23.438,1,2,0,1,1,1,1,1,1,1,AM,15,0,1:15:00,16.4,87,0.697894737,0.893684211
1/01/2018 1:30,703,23.125,1,2,0,1,1,1,1,1,1,1,AM,30,1,1:30:00,16.6,90,0.697894737,0.893684211
1/01/2018 1:45,703,22.562,1,2,0,1,1,1,1,1,1,1,AM,45,1,1:45:00,16.6,90,0.697894737,0.893684211
1/01/2018 2:00,703,21.875,1,2,0,1,1,1,1,1,2,2,AM,0,0,2:00:00,16.2,91,0.697894737,0.893684211
1/01/2018 2:15,703,21.438,1,2,0,1,1,1,1,1,2,2,AM,15,0,2:15:00,16.1,93,0.697894737,0.893684211
1/01/2018 2:30,703,21.625,1,2,0,1,1,1,1,1,2,2,AM,30,1,2:30:00,15.8,96,0.697894737,0.893684211
1/01/2018 2:45,703,21.812,1,2,0,1,1,1,1,1,2,2,AM,45,1,2:45:00,16,97,0.697894737,0.893684211
1/01/2018 3:00,703,21.188,1,2,0,1,1,1,1,1,3,3,AM,0,0,3:00:00,15.9,99,0.697894737,0.893684211
1/01/2018 3:15,703,21.438,1,2,0,1,1,1,1,1,3,3,AM,15,0,3:15:00,16.2,99,0.697894737,0.893684211
1/01/2018 3:30,703,21.375,1,2,0,1,1,1,1,1,3,3,AM,30,1,3:30:00,16,97,0.697894737,0.893684211
1/01/2018 3:45,703,22.188,1,2,0,1,1,1,1,1,3,3,AM,45,1,3:45:00,15.2,98,0.697894737,0.893684211
